Model,N_ens
ACCESS-CM2,1
ACCESS-ESM1-5,1
AWI-CM-1-1-MR,1
BCC-CSM2-MR,1
CAMS-CSM1-0,2
CESM2,2
CESM2-WACCM,1
CNRM-CM6-1,6
CNRM-CM6-1-HR,1
CNRM-ESM2-1,5
CanESM5,25
EC-Earth3,7
EC-Earth3-Veg,7
FGOALS-f3-L,1
FGOALS-g3,1
FIO-ESM-2-0,3
GFDL-CM4,1
GFDL-ESM4,1
INM-CM4-8,1
INM-CM5-0,1
IPSL-CM6A-LR,6
KACE-1-0-G,1
MCM-UA-1-0,1
MIROC-ES2L,1
MIROC6,3
MPI-ESM1-2-HR,2
MPI-ESM1-2-LR,10
MRI-ESM2-0,1
NESM3,2
NorESM2-LM,1
UKESM1-0-LL,4
