Model, N_ens 
GISS-E2-1-G,1 
GISS-E2-1-H,1 
AWI-CM-1-1-MR,1 
GFDL-CM4,1 
GFDL-ESM4,1 
CAMS-CSM1-0,1 
CanESM5,1 
UKESM1-0-LL,1 
HadGEM3-GC31-LL,1 
EC-Earth3-LR,1 
EC-Earth3,1 
EC-Earth3-Veg,1 
MIROC6,1 
IPSL-CM6A-LR,1 
E3SM-1-0,1 
CESM2-WACCM,1 
CESM2,1 
MPI-ESM1-2-HR,1 
CNRM-ESM2-1,1 
SAM0-UNICON,1 
